,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
20218,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
18248,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
7790,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.211,ON,1,1,4.29,9.86
4529,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.012,ON,1,1,4.57,9.86
26988,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
17266,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
11741,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
25391,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.272,ON,0,1,4.51,4.06
637,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
4158,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
21559,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
3043,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
15704,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
13155,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
4141,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
17079,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
7851,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.214,ON,1,1,4.29,9.86
12189,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
2244,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.798,ON,0,1,4.77,7.36
9298,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
263,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
22880,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.082,ON,0,1,4.51,4.06
3599,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.311,ON,1,1,4.57,9.86
25685,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.26,ON,0,1,4.51,4.06
24847,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.707,ON,0,1,4.51,4.06
8881,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
22417,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.0,ON,0,1,4.51,4.06
20304,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
5206,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.57,9.86
23538,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1904.18,ON,0,1,4.51,4.06
5666,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
23886,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.167,ON,0,1,4.51,4.06
6365,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.004,ON,1,1,4.73,9.86
12144,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
13438,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
6391,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.004,ON,1,1,4.73,9.86
4179,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
5048,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.012,ON,1,1,4.57,9.86
7,3682.0,12/19/2017,1,HAPAG,2017-11-01,2030-01-31,2885.58,ON,0,1,4.76,7.36
27447,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
28834,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.485,ON,0,1,4.73,7.36
16235,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
10508,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
17158,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
12832,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
9690,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
4585,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.009,ON,1,1,4.57,9.86
29881,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.49,ON,0,1,4.73,7.36
20798,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
3099,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
22340,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
29574,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.49,ON,0,1,4.73,7.36
19870,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
3818,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
17929,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
19423,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
26444,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.18,ON,0,1,4.53,4.06
6295,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
21533,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
27950,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
17679,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
21605,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
18077,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
28152,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
14171,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
